Sequence.Name	GenBank.Accn	RefSeq.Accn	Sequence.Length	Chr
C17827563	AOGC01088447.1	NW_013189595.1	428	3949
C17828133	AOGC01088448.1	NW_013189600.1	428	3950
C17828105	AOGC01088449.1	NW_013189603.1	428	3951
C17826803	AOGC01088452.1	NW_013189597.1	428	3952
scaffold1420	KQ040408.1	NW_013189602.1	428	3953
C17825563	AOGC01088438.1	NW_013189606.1	427	3954
C17824945	AOGC01088440.1	NW_013189607.1	427	3955
C17825541	AOGC01088441.1	NW_013189608.1	427	3956
C17823869	AOGC01088432.1	NW_013189614.1	426	3957
C17823255	AOGC01088433.1	NW_013189611.1	426	3958
C17824157	AOGC01088434.1	NW_013189613.1	426	3959
C17824179	AOGC01088435.1	NW_013189612.1	426	3960
C17823679	AOGC01088436.1	NW_013189610.1	426	3961
C17824445	AOGC01088437.1	NW_013189609.1	426	3962
C17824319	AOGC01088439.1	NW_013189615.1	426	3963
scaffold1004	AOGC01083861.1	NW_013189617.1	425	3964
C17821441	AOGC01088425.1	NW_013189616.1	425	3965
C17821461	AOGC01088428.1	NW_013189621.1	425	3966
C17821939	AOGC01088429.1	NW_013189618.1	425	3967
C17822571	AOGC01088430.1	NW_013189619.1	425	3968
C17822449	AOGC01088431.1	NW_013189620.1	425	3969
C17819555	AOGC01088420.1	NW_013189623.1	424	3970
C17819463	AOGC01088423.1	NW_013189622.1	424	3971
C17820735	AOGC01088424.1	NW_013189624.1	424	3972
C17820087	AOGC01088427.1	NW_013189625.1	424	3973
C17817527	AOGC01088418.1	NW_013189627.1	423	3974
C17817395	AOGC01088419.1	NW_013189626.1	423	3975
C17816365	AOGC01088412.1	NW_013189633.1	422	3976
C17816267	AOGC01088413.1	NW_013189634.1	422	3977
C17816605	AOGC01088414.1	NW_013189631.1	422	3978
C17815919	AOGC01088416.1	NW_013189628.1	422	3979
C17816607	AOGC01088417.1	NW_013189635.1	422	3980
C17817047	AOGC01088421.1	NW_013189632.1	422	3981
C17817269	AOGC01088422.1	NW_013189629.1	422	3982
C17817359	AOGC01088426.1	NW_013189630.1	422	3983
scaffold1125	AOGC01084095.1	NW_013189637.1	421	3984
C17815269	AOGC01088408.1	NW_013189638.1	421	3985
C17814345	AOGC01088410.1	NW_013189640.1	421	3986
C17815603	AOGC01088411.1	NW_013189639.1	421	3987
C17814487	AOGC01088415.1	NW_013189636.1	421	3988
C17812267	AOGC01088400.1	NW_013189643.1	420	3989
C17812479	AOGC01088401.1	NW_013189641.1	420	3990
C17813053	AOGC01088405.1	NW_013189642.1	420	3991
C17813101	AOGC01088406.1	NW_013189645.1	420	3992
C17813829	AOGC01088407.1	NW_013189646.1	420	3993
C17813257	AOGC01088409.1	NW_013189644.1	420	3994
C17811851	AOGC01088402.1	NW_013189649.1	419	3995
C17811481	AOGC01088403.1	NW_013189647.1	419	3996
C17811375	AOGC01088404.1	NW_013189648.1	419	3997
C17808763	AOGC01088393.1	NW_013189651.1	418	3998
C17809713	AOGC01088394.1	NW_013189653.1	418	3999
C17809753	AOGC01088396.1	NW_013189652.1	418	4000
C17810177	AOGC01088397.1	NW_013189654.1	418	4001
C17809973	AOGC01088398.1	NW_013189650.1	418	4002
C17810315	AOGC01088399.1	NW_013189655.1	418	4003
C17807079	AOGC01088384.1	NW_013189663.1	417	4004
C17807045	AOGC01088385.1	NW_013189662.1	417	4005
C17807203	AOGC01088386.1	NW_013189657.1	417	4006
C17807257	AOGC01088387.1	NW_013189661.1	417	4007
C17807739	AOGC01088388.1	NW_013189665.1	417	4008
C17807261	AOGC01088389.1	NW_013189660.1	417	4009
C17807313	AOGC01088390.1	NW_013189656.1	417	4010
C17807183	AOGC01088391.1	NW_013189659.1	417	4011
C17807957	AOGC01088392.1	NW_013189664.1	417	4012
C17807627	AOGC01088395.1	NW_013189658.1	417	4013
C17805807	AOGC01088374.1	NW_013189672.1	416	4014
C17805435	AOGC01088376.1	NW_013189671.1	416	4015
C17806387	AOGC01088379.1	NW_013189670.1	416	4016
C17806177	AOGC01088380.1	NW_013189669.1	416	4017
C17806385	AOGC01088381.1	NW_013189668.1	416	4018
C17805963	AOGC01088382.1	NW_013189666.1	416	4019
C17805751	AOGC01088383.1	NW_013189667.1	416	4020
C17803507	AOGC01088370.1	NW_013189678.1	415	4021
C17804739	AOGC01088372.1	NW_013189673.1	415	4022
C17803849	AOGC01088373.1	NW_013189674.1	415	4023
C17803663	AOGC01088375.1	NW_013189676.1	415	4024
C17804519	AOGC01088377.1	NW_013189677.1	415	4025
C17805019	AOGC01088378.1	NW_013189675.1	415	4026
C17802167	AOGC01088364.1	NW_013189680.1	414	4027
C17801837	AOGC01088366.1	NW_013189679.1	414	4028
C17802463	AOGC01088368.1	NW_013189683.1	414	4029
C17802763	AOGC01088369.1	NW_013189682.1	414	4030
C17802995	AOGC01088371.1	NW_013189681.1	414	4031
C17799779	AOGC01088358.1	NW_013189690.1	413	4032
C17799675	AOGC01088359.1	NW_013189688.1	413	4033
C17799553	AOGC01088361.1	NW_013189685.1	413	4034
C17800177	AOGC01088362.1	NW_013189686.1	413	4035
C17800401	AOGC01088363.1	NW_013189687.1	413	4036
C17800043	AOGC01088365.1	NW_013189684.1	413	4037
C17800697	AOGC01088367.1	NW_013189689.1	413	4038
C17797865	AOGC01088351.1	NW_013189697.1	412	4039
C17799231	AOGC01088353.1	NW_013189693.1	412	4040
C17798757	AOGC01088354.1	NW_013189696.1	412	4041
C17797971	AOGC01088355.1	NW_013189695.1	412	4042
C17798159	AOGC01088356.1	NW_013189692.1	412	4043
C17799297	AOGC01088357.1	NW_013189691.1	412	4044
C17799431	AOGC01088360.1	NW_013189694.1	412	4045
C17796017	AOGC01088342.1	NW_013189701.1	411	4046
C17796103	AOGC01088345.1	NW_013189703.1	411	4047
C17796855	AOGC01088347.1	NW_013189698.1	411	4048
C17796891	AOGC01088348.1	NW_013189699.1	411	4049
C17796143	AOGC01088349.1	NW_013189700.1	411	4050
C17797387	AOGC01088350.1	NW_013189702.1	411	4051
C17797007	AOGC01088352.1	NW_013189704.1	411	4052
C17794153	AOGC01088332.1	NW_013189710.1	410	4053
C17794281	AOGC01088334.1	NW_013189707.1	410	4054
C17794935	AOGC01088336.1	NW_013189711.1	410	4055
C17794325	AOGC01088338.1	NW_013189705.1	410	4056
C17794627	AOGC01088339.1	NW_013189706.1	410	4057
C17795413	AOGC01088340.1	NW_013189712.1	410	4058
C17794561	AOGC01088341.1	NW_013189714.1	410	4059
C17795341	AOGC01088343.1	NW_013189708.1	410	4060
C17795129	AOGC01088344.1	NW_013189709.1	410	4061
C17795081	AOGC01088346.1	NW_013189713.1	410	4062
C17792343	AOGC01088328.1	NW_013189719.1	409	4063
C17792721	AOGC01088329.1	NW_013189720.1	409	4064
C17793027	AOGC01088330.1	NW_013189718.1	409	4065
C17793187	AOGC01088331.1	NW_013189716.1	409	4066
C17793857	AOGC01088333.1	NW_013189715.1	409	4067
C17793021	AOGC01088335.1	NW_013189721.1	409	4068
C17793697	AOGC01088337.1	NW_013189717.1	409	4069
scaffold1266	AOGC01084413.1	NW_013189725.1	408	4070
C17790807	AOGC01088320.1	NW_013189723.1	408	4071
C17791171	AOGC01088323.1	NW_013189724.1	408	4072
C17790855	AOGC01088324.1	NW_013189727.1	408	4073
C17792049	AOGC01088326.1	NW_013189726.1	408	4074
C17791003	AOGC01088327.1	NW_013189722.1	408	4075
C17788813	AOGC01088310.1	NW_013189738.1	407	4076
C17789299	AOGC01088312.1	NW_013189734.1	407	4077
C17789091	AOGC01088313.1	NW_013189733.1	407	4078
C17788407	AOGC01088314.1	NW_013189729.1	407	4079
C17788443	AOGC01088315.1	NW_013189736.1	407	4080
C17789377	AOGC01088316.1	NW_013189737.1	407	4081
C17788471	AOGC01088317.1	NW_013189732.1	407	4082
C17789771	AOGC01088318.1	NW_013189730.1	407	4083
C17790033	AOGC01088319.1	NW_013189739.1	407	4084
C17790103	AOGC01088321.1	NW_013189728.1	407	4085
C17789579	AOGC01088322.1	NW_013189731.1	407	4086
C17789885	AOGC01088325.1	NW_013189735.1	407	4087
scaffold464	AOGC01076314.1	NW_013189740.1	406	4088
scaffold583	AOGC01079451.1	NW_013189745.1	406	4089
C17787277	AOGC01088300.1	NW_013189751.1	406	4090
C17786783	AOGC01088301.1	NW_013189747.1	406	4091
C17787131	AOGC01088302.1	NW_013189748.1	406	4092
C17787611	AOGC01088303.1	NW_013189741.1	406	4093
C17787773	AOGC01088304.1	NW_013189746.1	406	4094
C17788029	AOGC01088305.1	NW_013189750.1	406	4095
C17787955	AOGC01088306.1	NW_013189744.1	406	4096
C17788199	AOGC01088307.1	NW_013189742.1	406	4097
C17787819	AOGC01088308.1	NW_013189743.1	406	4098
C17787771	AOGC01088311.1	NW_013189749.1	406	4099
scaffold1426	AOGC01084653.1	NW_013189753.1	405	4100
C17784681	AOGC01088293.1	NW_013189755.1	405	4101
C17785051	AOGC01088294.1	NW_013189752.1	405	4102
C17785999	AOGC01088295.1	NW_013189756.1	405	4103
C17785311	AOGC01088296.1	NW_013189758.1	405	4104
C17785765	AOGC01088297.1	NW_013189754.1	405	4105
C17786019	AOGC01088299.1	NW_013189759.1	405	4106
C17786207	AOGC01088309.1	NW_013189757.1	405	4107
C17783009	AOGC01088285.1	NW_013189760.1	404	4108
C17783131	AOGC01088286.1	NW_013189764.1	404	4109
C17782733	AOGC01088289.1	NW_013189761.1	404	4110
C17783371	AOGC01088290.1	NW_013189762.1	404	4111
C17783697	AOGC01088291.1	NW_013189765.1	404	4112
C17783375	AOGC01088292.1	NW_013189763.1	404	4113
C17783149	AOGC01088298.1	NW_013189766.1	404	4114
C17780951	AOGC01088277.1	NW_013189772.1	403	4115
C17781043	AOGC01088281.1	NW_013189771.1	403	4116
C17781125	AOGC01088283.1	NW_013189767.1	403	4117
C17781483	AOGC01088284.1	NW_013189770.1	403	4118
C17782499	AOGC01088287.1	NW_013189769.1	403	4119
C17782141	AOGC01088288.1	NW_013189768.1	403	4120
C17779129	AOGC01088275.1	NW_013189773.1	402	4121
C17779219	AOGC01088278.1	NW_013189774.1	402	4122
C17779693	AOGC01088279.1	NW_013189775.1	402	4123
C17779215	AOGC01088280.1	NW_013189777.1	402	4124
C17779499	AOGC01088282.1	NW_013189776.1	402	4125
C17777457	AOGC01088265.1	NW_013189784.1	401	4126
C17777737	AOGC01088267.1	NW_013189780.1	401	4127
C17778071	AOGC01088269.1	NW_013189786.1	401	4128
C17778099	AOGC01088270.1	NW_013189779.1	401	4129
C17777733	AOGC01088271.1	NW_013189783.1	401	4130
C17778741	AOGC01088272.1	NW_013189778.1	401	4131
C17778849	AOGC01088273.1	NW_013189785.1	401	4132
C17778759	AOGC01088274.1	NW_013189781.1	401	4133
C17778167	AOGC01088276.1	NW_013189782.1	401	4134
scaffold660	AOGC01081035.1	NW_013189790.1	400	4135
scaffold1105	AOGC01084066.1	NW_013189791.1	400	4136
C17776397	AOGC01088263.1	NW_013189789.1	400	4137
C17776249	AOGC01088264.1	NW_013189788.1	400	4138
C17776575	AOGC01088266.1	NW_013189787.1	400	4139
C17775503	AOGC01088268.1	NW_013189792.1	400	4140
scaffold866	AOGC01082909.1	NW_013189794.1	399	4141
C17774007	AOGC01088256.1	NW_013189793.1	399	4142
C17774807	AOGC01088258.1	NW_013189796.1	399	4143
C17774855	AOGC01088259.1	NW_013189799.1	399	4144
C17774985	AOGC01088260.1	NW_013189797.1	399	4145
C17774627	AOGC01088261.1	NW_013189795.1	399	4146
C17775125	AOGC01088262.1	NW_013189798.1	399	4147
C17771890	AOGC01088245.1	NW_013189807.1	398	4148
C17772232	AOGC01088247.1	NW_013189800.1	398	4149
C17772555	AOGC01088248.1	NW_013189804.1	398	4150
C17772176	AOGC01088249.1	NW_013189801.1	398	4151
C17772449	AOGC01088250.1	NW_013189810.1	398	4152
C17772973	AOGC01088251.1	NW_013189806.1	398	4153
C17773263	AOGC01088252.1	NW_013189803.1	398	4154
C17773129	AOGC01088253.1	NW_013189805.1	398	4155
C17773167	AOGC01088254.1	NW_013189808.1	398	4156
C17773273	AOGC01088255.1	NW_013189809.1	398	4157
C17772989	AOGC01088257.1	NW_013189802.1	398	4158
C17770832	AOGC01088243.1	NW_013189811.1	397	4159
C17771522	AOGC01088244.1	NW_013189813.1	397	4160
C17771318	AOGC01088246.1	NW_013189812.1	397	4161
C17768910	AOGC01088234.1	NW_013189816.1	396	4162
C17768920	AOGC01088236.1	NW_013189820.1	396	4163
C17767930	AOGC01088237.1	NW_013189818.1	396	4164
C17768944	AOGC01088238.1	NW_013189817.1	396	4165
C17768736	AOGC01088239.1	NW_013189815.1	396	4166
C17769180	AOGC01088240.1	NW_013189814.1	396	4167
C17768514	AOGC01088241.1	NW_013189821.1	396	4168
C17769676	AOGC01088242.1	NW_013189819.1	396	4169
C17767464	AOGC01088230.1	NW_013189823.1	395	4170
C17766902	AOGC01088231.1	NW_013189824.1	395	4171
C17766370	AOGC01088232.1	NW_013189825.1	395	4172
C17766810	AOGC01088233.1	NW_013189822.1	395	4173
C17764229	AOGC01088221.1	NW_013189831.1	394	4174
C17764403	AOGC01088222.1	NW_013189826.1	394	4175
C17764979	AOGC01088223.1	NW_013189834.1	394	4176
C17765708	AOGC01088225.1	NW_013189828.1	394	4177
C17765585	AOGC01088226.1	NW_013189827.1	394	4178
C17765405	AOGC01088227.1	NW_013189833.1	394	4179
C17765117	AOGC01088228.1	NW_013189830.1	394	4180
C17764515	AOGC01088229.1	NW_013189832.1	394	4181
C17765832	AOGC01088235.1	NW_013189829.1	394	4182
C17762381	AOGC01088209.1	NW_013189835.1	393	4183
C17762503	AOGC01088210.1	NW_013189843.1	393	4184
C17762543	AOGC01088213.1	NW_013189836.1	393	4185
C17762945	AOGC01088214.1	NW_013189841.1	393	4186
C17763377	AOGC01088215.1	NW_013189844.1	393	4187
C17762853	AOGC01088216.1	NW_013189839.1	393	4188
C17763431	AOGC01088217.1	NW_013189838.1	393	4189
C17762761	AOGC01088218.1	NW_013189842.1	393	4190
C17764035	AOGC01088219.1	NW_013189845.1	393	4191
C17764015	AOGC01088220.1	NW_013189840.1	393	4192
C17764077	AOGC01088224.1	NW_013189837.1	393	4193
C17761323	AOGC01088206.1	NW_013189846.1	392	4194
C17762213	AOGC01088207.1	NW_013189847.1	392	4195
C17758401	AOGC01088200.1	NW_013189853.1	391	4196
C17759393	AOGC01088203.1	NW_013189848.1	391	4197
C17759771	AOGC01088204.1	NW_013189854.1	391	4198
C17759269	AOGC01088205.1	NW_013189850.1	391	4199
C17758493	AOGC01088208.1	NW_013189851.1	391	4200
C17760255	AOGC01088211.1	NW_013189849.1	391	4201
C17760247	AOGC01088212.1	NW_013189852.1	391	4202
C17756541	AOGC01088189.1	NW_013189862.1	390	4203
C17757065	AOGC01088193.1	NW_013189861.1	390	4204
C17757627	AOGC01088195.1	NW_013189858.1	390	4205
C17756853	AOGC01088196.1	NW_013189863.1	390	4206
C17757519	AOGC01088197.1	NW_013189855.1	390	4207
C17756569	AOGC01088198.1	NW_013189857.1	390	4208
C17757777	AOGC01088199.1	NW_013189860.1	390	4209
C17758309	AOGC01088201.1	NW_013189856.1	390	4210
C17757957	AOGC01088202.1	NW_013189859.1	390	4211
C17755319	AOGC01088187.1	NW_013189864.1	389	4212
C17756201	AOGC01088188.1	NW_013189868.1	389	4213
C17755861	AOGC01088191.1	NW_013189866.1	389	4214
C17756275	AOGC01088192.1	NW_013189865.1	389	4215
C17756021	AOGC01088194.1	NW_013189867.1	389	4216
C17753061	AOGC01088172.1	NW_013189871.1	388	4217
C17753071	AOGC01088176.1	NW_013189877.1	388	4218
C17753309	AOGC01088177.1	NW_013189874.1	388	4219
C17753123	AOGC01088178.1	NW_013189870.1	388	4220
C17753685	AOGC01088179.1	NW_013189880.1	388	4221
C17753853	AOGC01088180.1	NW_013189873.1	388	4222
C17753383	AOGC01088181.1	NW_013189876.1	388	4223
C17754145	AOGC01088182.1	NW_013189872.1	388	4224
C17753249	AOGC01088183.1	NW_013189875.1	388	4225
C17753585	AOGC01088184.1	NW_013189869.1	388	4226
C17754193	AOGC01088185.1	NW_013189879.1	388	4227
C17754259	AOGC01088186.1	NW_013189878.1	388	4228
C17753881	AOGC01088190.1	NW_013189881.1	388	4229
scaffold320	AOGC01063554.1	NW_013189883.1	387	4230
C17751371	AOGC01088167.1	NW_013189887.1	387	4231
C17750975	AOGC01088169.1	NW_013189885.1	387	4232
C17751277	AOGC01088171.1	NW_013189886.1	387	4233
C17752117	AOGC01088173.1	NW_013189888.1	387	4234
C17751467	AOGC01088174.1	NW_013189882.1	387	4235
C17751501	AOGC01088175.1	NW_013189884.1	387	4236
C17748417	AOGC01088159.1	NW_013189889.1	386	4237
C17749147	AOGC01088162.1	NW_013189891.1	386	4238
C17748825	AOGC01088163.1	NW_013189894.1	386	4239
C17749497	AOGC01088164.1	NW_013189895.1	386	4240
C17749587	AOGC01088165.1	NW_013189892.1	386	4241
C17749145	AOGC01088166.1	NW_013189890.1	386	4242
C17749569	AOGC01088168.1	NW_013189893.1	386	4243
C17749741	AOGC01088170.1	NW_013189896.1	386	4244
C17746829	AOGC01088147.1	NW_013189904.1	385	4245
C17746399	AOGC01088148.1	NW_013189906.1	385	4246
C17747187	AOGC01088149.1	NW_013189907.1	385	4247
C17747011	AOGC01088150.1	NW_013189901.1	385	4248
C17747309	AOGC01088151.1	NW_013189909.1	385	4249
C17746949	AOGC01088152.1	NW_013189898.1	385	4250
C17747817	AOGC01088153.1	NW_013189908.1	385	4251
C17747647	AOGC01088154.1	NW_013189910.1	385	4252
C17747669	AOGC01088155.1	NW_013189897.1	385	4253
C17746533	AOGC01088156.1	NW_013189902.1	385	4254
C17747943	AOGC01088157.1	NW_013189900.1	385	4255
C17747859	AOGC01088158.1	NW_013189899.1	385	4256
C17748133	AOGC01088160.1	NW_013189905.1	385	4257
C17747643	AOGC01088161.1	NW_013189903.1	385	4258
C17744633	AOGC01088140.1	NW_013189913.1	384	4259
C17744729	AOGC01088141.1	NW_013189915.1	384	4260
C17745257	AOGC01088142.1	NW_013189914.1	384	4261
C17745639	AOGC01088145.1	NW_013189912.1	384	4262
C17745825	AOGC01088146.1	NW_013189911.1	384	4263
scaffold1120	AOGC01084085.1	NW_013189916.1	383	4264
C17743023	AOGC01088135.1	NW_013189920.1	383	4265
C17743149	AOGC01088136.1	NW_013189918.1	383	4266
C17742569	AOGC01088138.1	NW_013189922.1	383	4267
C17743337	AOGC01088139.1	NW_013189917.1	383	4268
C17743359	AOGC01088143.1	NW_013189919.1	383	4269
C17742719	AOGC01088144.1	NW_013189921.1	383	4270
scaffold1073	AOGC01084030.1	NW_013189927.1	382	4271
C17740897	AOGC01088128.1	NW_013189923.1	382	4272
C17741089	AOGC01088130.1	NW_013189925.1	382	4273
C17741489	AOGC01088131.1	NW_013189928.1	382	4274
C17741613	AOGC01088133.1	NW_013189924.1	382	4275
C17741897	AOGC01088134.1	NW_013189926.1	382	4276
C17740887	AOGC01088137.1	NW_013189929.1	382	4277
C17738973	AOGC01088120.1	NW_013189935.1	381	4278
C17739053	AOGC01088122.1	NW_013189937.1	381	4279
C17738475	AOGC01088123.1	NW_013189934.1	381	4280
C17738749	AOGC01088125.1	NW_013189933.1	381	4281
C17739275	AOGC01088126.1	NW_013189936.1	381	4282
C17739775	AOGC01088127.1	NW_013189930.1	381	4283
C17740203	AOGC01088129.1	NW_013189931.1	381	4284
C17739733	AOGC01088132.1	NW_013189932.1	381	4285
C17736679	AOGC01088114.1	NW_013189938.1	380	4286
C17737231	AOGC01088115.1	NW_013189942.1	380	4287
C17736749	AOGC01088116.1	NW_013189940.1	380	4288
C17737469	AOGC01088119.1	NW_013189939.1	380	4289
C17738311	AOGC01088121.1	NW_013189941.1	380	4290
C17737889	AOGC01088124.1	NW_013189943.1	380	4291
C17734575	AOGC01088106.1	NW_013189946.1	379	4292
C17735005	AOGC01088108.1	NW_013189951.1	379	4293
C17734863	AOGC01088109.1	NW_013189945.1	379	4294
C17735399	AOGC01088110.1	NW_013189949.1	379	4295
C17735131	AOGC01088111.1	NW_013189950.1	379	4296
C17735287	AOGC01088112.1	NW_013189952.1	379	4297
C17735871	AOGC01088113.1	NW_013189948.1	379	4298
C17735983	AOGC01088117.1	NW_013189947.1	379	4299
C17735639	AOGC01088118.1	NW_013189944.1	379	4300
scaffold1292	AOGC01084444.1	NW_013189953.1	378	4301
scaffold1368	AOGC01084564.1	NW_013189962.1	378	4302
C17732747	AOGC01088098.1	NW_013189957.1	378	4303
C17732815	AOGC01088099.1	NW_013189958.1	378	4304
C17733175	AOGC01088101.1	NW_013189960.1	378	4305
C17733035	AOGC01088102.1	NW_013189954.1	378	4306
C17733711	AOGC01088103.1	NW_013189961.1	378	4307
C17734193	AOGC01088104.1	NW_013189956.1	378	4308
C17733047	AOGC01088105.1	NW_013189959.1	378	4309
C17733715	AOGC01088107.1	NW_013189955.1	378	4310
scaffold1045	AOGC01083958.1	NW_013189965.1	377	4311
scaffold1399	AOGC01084605.1	NW_013189966.1	377	4312
C17731523	AOGC01088090.1	NW_013189967.1	377	4313
C17731725	AOGC01088091.1	NW_013189968.1	377	4314
C17731793	AOGC01088094.1	NW_013189963.1	377	4315
C17732015	AOGC01088096.1	NW_013189970.1	377	4316
C17731865	AOGC01088097.1	NW_013189964.1	377	4317
C17732257	AOGC01088100.1	NW_013189969.1	377	4318
C17728515	AOGC01088079.1	NW_013189978.1	376	4319
C17728639	AOGC01088080.1	NW_013189982.1	376	4320
C17728777	AOGC01088081.1	NW_013189980.1	376	4321
C17729451	AOGC01088084.1	NW_013189972.1	376	4322
C17729661	AOGC01088085.1	NW_013189976.1	376	4323
C17729289	AOGC01088086.1	NW_013189973.1	376	4324
C17729463	AOGC01088087.1	NW_013189975.1	376	4325
C17728711	AOGC01088088.1	NW_013189981.1	376	4326
C17729911	AOGC01088089.1	NW_013189971.1	376	4327
C17730211	AOGC01088092.1	NW_013189979.1	376	4328
C17729683	AOGC01088093.1	NW_013189974.1	376	4329
C17729987	AOGC01088095.1	NW_013189977.1	376	4330
scaffold1090	AOGC01084052.1	NW_013189984.1	375	4331
C17726419	AOGC01088075.1	NW_013189986.1	375	4332
C17727505	AOGC01088077.1	NW_013189985.1	375	4333
C17726435	AOGC01088078.1	NW_013189987.1	375	4334
C17728111	AOGC01088082.1	NW_013189983.1	375	4335
C17727649	AOGC01088083.1	NW_013189988.1	375	4336
C17724441	AOGC01088061.1	NW_013189994.1	374	4337
C17724873	AOGC01088063.1	NW_013190001.1	374	4338
C17724849	AOGC01088064.1	NW_013189996.1	374	4339
C17724489	AOGC01088065.1	NW_013189992.1	374	4340
C17725019	AOGC01088066.1	NW_013189997.1	374	4341
C17724703	AOGC01088067.1	NW_013189990.1	374	4342
C17725055	AOGC01088068.1	NW_013189995.1	374	4343
C17724683	AOGC01088069.1	NW_013189998.1	374	4344
C17725281	AOGC01088070.1	NW_013190000.1	374	4345
C17725975	AOGC01088071.1	NW_013189989.1	374	4346
C17725601	AOGC01088072.1	NW_013189993.1	374	4347
C17726083	AOGC01088073.1	NW_013189999.1	374	4348
C17725993	AOGC01088074.1	NW_013189991.1	374	4349
C17725631	AOGC01088076.1	NW_013190002.1	374	4350
C17723057	AOGC01088055.1	NW_013190007.1	373	4351
C17722547	AOGC01088056.1	NW_013190004.1	373	4352
C17724021	AOGC01088059.1	NW_013190005.1	373	4353
C17724221	AOGC01088060.1	NW_013190003.1	373	4354
C17724203	AOGC01088062.1	NW_013190006.1	373	4355
C17720579	AOGC01088038.1	NW_013190012.1	372	4356
C17720535	AOGC01088042.1	NW_013190016.1	372	4357
C17720761	AOGC01088043.1	NW_013190015.1	372	4358
C17721553	AOGC01088044.1	NW_013190008.1	372	4359
C17720919	AOGC01088045.1	NW_013190020.1	372	4360
C17721043	AOGC01088046.1	NW_013190018.1	372	4361
C17721385	AOGC01088047.1	NW_013190023.1	372	4362
C17721783	AOGC01088048.1	NW_013190013.1	372	4363
C17721599	AOGC01088049.1	NW_013190021.1	372	4364
C17721545	AOGC01088050.1	NW_013190017.1	372	4365
C17721787	AOGC01088051.1	NW_013190014.1	372	4366
C17722033	AOGC01088052.1	NW_013190011.1	372	4367
C17722167	AOGC01088053.1	NW_013190009.1	372	4368
C17722323	AOGC01088054.1	NW_013190010.1	372	4369
C17721811	AOGC01088057.1	NW_013190019.1	372	4370
C17721947	AOGC01088058.1	NW_013190022.1	372	4371
scaffold864	AOGC01082877.1	NW_013190031.1	371	4372
C17719397	AOGC01088028.1	NW_013190032.1	371	4373
C17718955	AOGC01088030.1	NW_013190027.1	371	4374
C17718815	AOGC01088031.1	NW_013190034.1	371	4375
C17719117	AOGC01088032.1	NW_013190029.1	371	4376
C17718475	AOGC01088033.1	NW_013190035.1	371	4377
C17719763	AOGC01088034.1	NW_013190028.1	371	4378
C17720045	AOGC01088035.1	NW_013190036.1	371	4379
C17719483	AOGC01088036.1	NW_013190030.1	371	4380
C17719769	AOGC01088037.1	NW_013190025.1	371	4381
C17720129	AOGC01088039.1	NW_013190033.1	371	4382
C17720197	AOGC01088040.1	NW_013190024.1	371	4383
C17720347	AOGC01088041.1	NW_013190026.1	371	4384
C17717135	AOGC01088020.1	NW_013190043.1	370	4385
C17716837	AOGC01088021.1	NW_013190041.1	370	4386
C17716563	AOGC01088023.1	NW_013190039.1	370	4387
C17717585	AOGC01088025.1	NW_013190038.1	370	4388
C17717423	AOGC01088026.1	NW_013190040.1	370	4389
C17717837	AOGC01088027.1	NW_013190037.1	370	4390
C17718093	AOGC01088029.1	NW_013190042.1	370	4391
C17714873	AOGC01088011.1	NW_013190049.1	369	4392
C17715037	AOGC01088012.1	NW_013190051.1	369	4393
C17715587	AOGC01088014.1	NW_013190044.1	369	4394
C17715675	AOGC01088016.1	NW_013190047.1	369	4395
C17715835	AOGC01088017.1	NW_013190046.1	369	4396
C17716031	AOGC01088018.1	NW_013190050.1	369	4397
C17715827	AOGC01088019.1	NW_013190052.1	369	4398
C17716483	AOGC01088022.1	NW_013190048.1	369	4399
C17716227	AOGC01088024.1	NW_013190045.1	369	4400
scaffold1348	AOGC01084528.1	NW_013190060.1	368	4401
C17712699	AOGC01088001.1	NW_013190061.1	368	4402
C17713155	AOGC01088004.1	NW_013190053.1	368	4403
C17712635	AOGC01088005.1	NW_013190055.1	368	4404
C17714151	AOGC01088007.1	NW_013190058.1	368	4405
C17713665	AOGC01088008.1	NW_013190057.1	368	4406
C17714259	AOGC01088009.1	NW_013190059.1	368	4407
C17714337	AOGC01088010.1	NW_013190062.1	368	4408
C17714069	AOGC01088013.1	NW_013190054.1	368	4409
C17713953	AOGC01088015.1	NW_013190056.1	368	4410
C17711201	AOGC01087994.1	NW_013190063.1	367	4411
C17710255	AOGC01087995.1	NW_013190067.1	367	4412
C17711571	AOGC01087996.1	NW_013190070.1	367	4413
C17711365	AOGC01087997.1	NW_013190064.1	367	4414
C17711735	AOGC01087998.1	NW_013190068.1	367	4415
C17711783	AOGC01087999.1	NW_013190069.1	367	4416
C17712025	AOGC01088000.1	NW_013190071.1	367	4417
C17712091	AOGC01088002.1	NW_013190065.1	367	4418
C17710767	AOGC01088006.1	NW_013190066.1	367	4419
C17708747	AOGC01087987.1	NW_013190079.1	366	4420
C17708331	AOGC01087988.1	NW_013190072.1	366	4421
C17709791	AOGC01087989.1	NW_013190073.1	366	4422
C17709293	AOGC01087990.1	NW_013190078.1	366	4423
C17708595	AOGC01087991.1	NW_013190077.1	366	4424
C17708781	AOGC01087992.1	NW_013190076.1	366	4425
C17709263	AOGC01087993.1	NW_013190074.1	366	4426
C17710179	AOGC01088003.1	NW_013190075.1	366	4427
scaffold1362	AOGC01084551.1	NW_013190080.1	365	4428
